PupsID,Region,Age,Metabolite,bvalue,Attenuation
10,Cerebellum,5,Ins,6,0.541525423728814
10,Cerebellum,5,Ins,10,0.414406779661017
10,Cerebellum,5,Ins,20,0.195762711864407
10,Cerebellum,5,Ins,30,0
2,Thalamus,5,Ins,0.035,1
2,Thalamus,5,Ins,3.035,0.860411899313501
2,Thalamus,5,Ins,6,0.645308924485126
2,Thalamus,5,Ins,10,0.458810068649886
2,Thalamus,5,Ins,20,0.0721967963386728
2,Thalamus,5,Ins,30,0
11,Cerebellum,5,Ins,0.035,1
11,Cerebellum,5,Ins,3.035,0.903488372093023
11,Cerebellum,5,Ins,6,0.666279069767442
11,Cerebellum,5,Ins,10,0.66046511627907
11,Cerebellum,5,Ins,20,0.245348837209302
11,Cerebellum,5,Ins,30,0.236046511627907
3,Thalamus,5,Ins,0.035,0
3,Thalamus,5,Ins,3.035,0
3,Thalamus,5,Ins,6,0
3,Thalamus,5,Ins,10,0
3,Thalamus,5,Ins,20,0
3,Thalamus,5,Ins,30,0
12,Cerebellum,5,Ins,0.035,1
12,Cerebellum,5,Ins,3.035,0.870867768595041
12,Cerebellum,5,Ins,6,0.691115702479339
12,Cerebellum,5,Ins,10,0.463842975206612
12,Cerebellum,5,Ins,20,0.161157024793388
12,Cerebellum,5,Ins,30,0.0518595041322314
4,Thalamus,5,Ins,0.035,1
4,Thalamus,5,Ins,3.035,0.672477064220183
4,Thalamus,5,Ins,6,0.448623853211009
4,Thalamus,5,Ins,10,0.340366972477064
4,Thalamus,5,Ins,20,0
4,Thalamus,5,Ins,30,0.0679816513761468
13,Cerebellum,5,Ins,0.035,1
13,Cerebellum,5,Ins,3.035,0.47136563876652
13,Cerebellum,5,Ins,6,0.597650513950073
13,Cerebellum,5,Ins,10,0.08928046989721
13,Cerebellum,5,Ins,20,0.0647577092511013
13,Cerebellum,5,Ins,30,0.076064610866373
5,Thalamus,5,Ins,0.035,1
5,Thalamus,5,Ins,3.035,0.655579399141631
5,Thalamus,5,Ins,6,0.450643776824034
5,Thalamus,5,Ins,10,0.0716738197424893
5,Thalamus,5,Ins,20,0.0859442060085837
5,Thalamus,5,Ins,30,0
14,Cerebellum,5,Ins,0.035,1
14,Cerebellum,5,Ins,3.035,0.805454545454545
14,Cerebellum,5,Ins,6,0.625454545454545
14,Cerebellum,5,Ins,10,0.404545454545455
14,Cerebellum,5,Ins,20,0.2
14,Cerebellum,5,Ins,30,0.0444545454545455
6,Thalamus,5,Ins,0.035,1
6,Thalamus,5,Ins,3.035,0.845174973488865
6,Thalamus,5,Ins,6,0.362672322375398
6,Thalamus,5,Ins,10,0.201484623541888
6,Thalamus,5,Ins,20,0.0905620360551432
6,Thalamus,5,Ins,30,0.0314952279957582
15,Cerebellum,5,Ins,0.035,1
15,Cerebellum,5,Ins,3.035,0.725
15,Cerebellum,5,Ins,6,0.292857142857143
15,Cerebellum,5,Ins,10,0.247619047619048
